기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
지엘브이,중소기업,경기 평택시,일반 창고업,5억원,89억 8백만원,박해광,2008.07.01
테스트이앤씨,중소기업,서울 강남구,모바일·APP,1억원,70억,이지영,2012.01.01
테스트이앤씨,중소기업,경남 김해시,건축설계 및 관련 서비스업,-,8억,김영관,2015.07.24
장인의공간,중소기업,경기 광명시,솔루션·SI·CRM·ERP,1억원,39억,정해성,2010.01.08
해성동기와,중소기업,경기 안성시,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",1억원,16억 2백만원,최돈봉,2016.03.01
포스트제주,중소기업,제주 서귀포시,주거용 건물 건설업,5억원,10억 5천만원,이윤수,2016.01.22
코인비엠에스,중소기업,서울 영등포구,쇼핑몰·오픈마켓·소셜커머스,5억원,433억 5천만,조효상,2010
공감,중소기업,경기 평택시,산업용 난방보일러 및 방열기 제조업,1억원,113억 3천만원,정승조,2019.12.09
공감,중소기업,경기 광주시,음식료·외식·프랜차이즈,-,-,전영석,2011.05.01
공감,중소기업,서울 강남구,건설·시공·토목·조경,24억 5백만원,20억 2천만원,이순재,2015.04.22
공감,중소기업,서울 강동구,광고·홍보·전시,"1,000만원","8억 9,622만원",정창일,2014
공감,중소기업,경기 고양시,전자상거래 소매 중개업,"1억 3,645만원",55억 7천만원,위초희,2015.09.14
공감,중소기업,경기 광명시,"서적, 잡지 및 기타 인쇄물 도매업","2,000만원","3억 9,686만원",강명아,2015.02.17
공감,중소기업,세종,기타 인문 및 사회과학 연구개발업,"6,000만원","5억 4,845만원",나찬주,2017.09.15
공감,중소기업,충남 계룡시,솔루션·SI·CRM·ERP,김명례,소프트웨어개발,"국민연금, 건강보험, 고용보험, 산재보험",2015.11.26
공감,중소기업,서울 송파구,컴퓨터 프로그래밍 서비스업,"3,000만원",11억 2천만원,권위수,2022.04.20
공감,중소기업,서울 영등포구,모조 귀금속 및 모조 장신용품 제조업,"5,000만원",13억 5천만원,박정운,2017.01.01
보광엘리베이터,중소기업,경기 안양시,승강기 제조업,5억원,24억 5천만원,오규만,1990.09.01
디와이에스엠,대기업,인천 남동구,기계·기계설비,132억원,7천234억,김지현,1978.10.05
디와이에스엠,중견기업,충남 아산시,그 외 자동차용 신품 부품 제조업,50억원,"4,598억 3천만원",임연찬,2014.12.01
디와이에스엠,중견기업,경남 창원시,유압기기 제조업,55억 2천만원,"2,662억 2천만원",박치웅,2014.12.01
디와이에스엠,중견기업,전북 익산시,건설 및 채광용 기계장비 제조업,20억원,"1,399억 5천만원",이승창,2020.05.01
디와이에스엠,중소기업,서울 광진구,남녀용 겉옷 및 셔츠 도매업,"5,000만원",189억 9천만원,서대용,2018.07.11
디와이에스엠,중소기업,경기 오산시,금속 절삭기계 제조업,26억 5천만원,257억 8천만원,조남욱,2014.07.11
디와이에스엠,중소기업,경기 화성시,자동차·조선·철강·항공,9억원,113억,황종영,2014.04.14
디와이에스엠,중소기업,서울 강남구,일식 음식점업,"3억 9,600만원",19억 7천만원,원구일,2014.07.14
디와이에스엠,중소기업,경기 부천시,생활용품·소비재·기타,-,-,박미화,20100601
디와이에스엠,중소기업,경북 칠곡군,자동차·조선·철강·항공,-,-,정정훈,2006.08.25
아이앤에이,중견기업,경기 수원시,반도체 제조용 기계 제조업,12억 3천만원,"2,106억 2천만원",박병해,2000.01.31
아이앤에이,중소기업,서울 강남구,건축·설비·환경,2억원,100억,진경철,2013.01.21
아이앤에이,중소기업,서울 마포구,경영 컨설팅업,정명한,경영컨설팅,"국민연금, 건강보험, 고용보험, 산재보험",2018.03.01
아이앤에이,중소기업,경기 남양주시,간판 및 광고물 제조업,1억원,17억 9천만원,김상도,2014.10.01
아이앤에이,중소기업,서울 마포구,"도배, 실내장식 및 내장 목공사업","5,000만원",21억 3천만원,박영복,2016.02.22
아이앤에이,중소기업,서울 중랑구,"도배, 실내장식 및 내장 목공사업","2억 2,500만원","7억 9,381만원",이용배/김은월,2011.06.20
아이앤에이,중소기업,경기 군포시,"도배, 실내장식 및 내장 목공사업",-,-,이우찬,2016.07.26
아이앤에이,중견기업,광주 서구,인테리어·자재,양제헌,"실내건축, 시설물유지관리, 광고기획","국민연금, 건강보험, 고용보험, 산재보험",2008
아이앤에이,중소기업,서울 중구,백화점·유통·도소매,-,-,최선희,-
에스엠정보,대기업 계열사·자회사,서울 영등포구,은행·금융,70억원,550억,박춘원,1999.12.01
에스엠정보,중소기업,대전 서구,렌탈·임대·리스,-,-,오영근,2001
에스엠정보,중소기업,서울 구로구,통신.방송장비 및 부품 도매업,"1,000만원",13억 6천만원,김영식,2013.11.01
에스엠정보,중소기업,경기 부천시,내부 전기배선 공사업,-,-,박찬종,-
에스엠정보,중소기업,경기 부천시,전자상거래 소매 중개업,-,-,김무헌,-
하이퍼텍,중소기업,경기 평택시,자동차용 신품 제동장치 제조업,9억원,200억 6천만원,이석한,2004.06.29
하이퍼텍,중소기업,충북 청주시,전기·전자·제어,12억원,32억,김기경,1998
하이퍼텍,중소기업,서울 마포구,그 외 기타 기계 및 장비 도매업,"3,000만원",10억 7천만원,이좋을,2017.03.03
써티세븐스디그리,중소기업,서울 용산구,광고 영화 및 비디오물 제작업,"1억 4,185만원",15억 6천만원,김형민,2014.04.22
광주전남작물보호제판매업협동조합,중소기업,광주 서구,물류·운송·배송,전성주,"농약 및 농자재 조합원 영업, 수금 관리","국민연금, 건강보험, 고용보험, 산재보험",1987.05.30
동우종합관리,중소기업,서울 강동구,비주거용 건물 임대업,"5,000만원",19억 1천만원,서찬우,1994.11.28
투믹스,중소기업,서울 강남구,포털·컨텐츠·커뮤니티,정윤규,,"소프트웨어 개발,공급,온라인정보 제공",2014.05.01
투믹스,중소기업,서울 강남구,데이터베이스 및 온라인정보 제공업,1억원,514억 6천만원,정윤규,2018.08.10
투믹스,중소기업,서울 영등포구,광고·홍보·전시,-,-,정진수,2022.01.28
투믹스,중소기업,인천 서구,산업용 트럭 및 적재기 제조업,890억 8천만원,346억 8천만원,김덕진/유영학,1982.02.23
투믹스,중소기업,경기 성남시,전자감지장치 제조업,-,-,한성규,2006.07.07
엠티에프시스템,중소기업,서울 용산구,"컴퓨터 및 주변장치, 소프트웨어 도매업",1억원,782억 1천만원,이권재,2012.12.06
가온,대기업,경기 안양시,기타 절연선 및 케이블 제조업,492억 9천만원,"1조 4,051억원",정현,1947.09.24
가온,중견기업,경기 성남시,방송장비 제조업,,,,
가온,중소기업,경기 성남시,컨설팅·연구·조사,"5,000만원",36억 4천만,김기홍,2011.10.10
가온,중소기업,서울 강남구,상품 종합 도매업,85억원,53억 7천만원,조윤경,2002.10.09
가온,중소기업,경기 성남시,비메모리용 및 기타 전자집적회로 제조업,57억 9천만원,964억 9천만원,정규동,2012.08.09
가온,중소기업,서울 강남구,솔루션·SI·CRM·ERP,2억원,466억,조창제,2000.05.01
가온,중소기업,대전 유성구,음식료·외식·프랜차이즈,"단체급식,위탁급식,외식,식음료","국민연금, 건강보험, 고용보험, 산재보험",http://gaonfns.co.kr/,김주홍
가온,중견기업,경기 성남시,기타 무선 통신장비 제조업,40억 9천만원,"1,807억 5천만원",임용혁,2020.07.03
가온,중소기업,서울 영등포구,기타 정보기술 및 컴퓨터운영 관련 서비스업,2억원,244억 4백만,이태재,2013.09.01
가온,중소기업,경기 남양주시,백화점·유통·도소매,1억원,100억원,방해화,2014.12.10
엔에스엘코리아,중소기업,서울 광진구,무역·상사,1억원,226억 4천만,손호영,1999.03.01
태일정보시스템,중소기업,서울 송파구,내부 통신배선 공사업,"1억 5,000만원",20억 6천만원,정구일,2012.05.04
대윤글로벌,중소기업,서울 구로구,그 외 기타 의료용 기기 제조업,-,-,박관중,-
해오름,중소기업,서울 금천구,솔루션·SI·CRM·ERP,2억원,60억,이승수,2005.07.16
해오름,중소기업,서울 중구,손해 사정업,-,-,이기무,2005.01.18
해오름,중소기업,서울 송파구,섬유·의류·패션,-,-,주석구,2000.06.21
해오름,중소기업,경기 고양시,한식 일반 음식점업,-,-,김인자,2007
해오름,중소기업,전남 여수시,비계 및 형틀 공사업,2억원,10억 7천만원,이귀주,2008.01.11
해오름,중소기업,인천 서구,제약·보건·바이오,-,-,노도식,2005
해오름,중소기업,경기 안양시,건물 건설업,"8억 1,000만원",65억 3천만원,김길수/김인호,2004.10.18
해오름,중소기업,충남 논산시,과자류 및 코코아 제품 제조업,1억원,40억 4천만원,김종완,2007.01.16
해오름,중소기업,서울 금천구,컴퓨터시스템 통합 자문 및 구축 서비스업,5억원,41억 1천만원,김기태,2000.01.15
신성베어링,중소기업,서울 구로구,그 외 기타 기계 및 장비 도매업,"5,000만원",43억 9천만원,지동황,2010.04.01
백양,중소기업,인천 서구,비주거용 건물 임대업,22억 1천만원,24억 2백만원,한지형,1992.09.15
백양,중소기업,전남 장성군,세탁물 공급업,30억 1천만원,33억 8천만원,최희숙,1997.10.01
백양,중소기업,서울 영등포구,건물용 금속공작물 설치 공사업,-,-,노진민,2004.09.01
백양,중소기업,경기 시흥시,토공사업,"4억 6,000만원",23억 3천만원,이웅근,2001.09.01
백양,중소기업,울산 남구,배관 및 냉ㆍ난방 공사업,"5억 5,000만원",157억 2천만원,김동휘,2004.08.20
백양,중소기업,부산 부산진구,슈퍼마켓,1억원,19억 3천만원,김수환,2016.07.26
백양,중소기업,전남 장성군,음식료·외식·프랜차이즈,-,-,한제영,2016.11.01
백양,중소기업,전남 장성군,종자 및 묘목 생산업,100만원,28억 7백만원,고숭,2021.12.15
엠트로스,중소기업,대구 달서구,그 외 기타 전자부품 제조업,1억원,"1억 8,738만원",강일용,2012.08.24
비지엔티,중소기업,서울 강서구,응용 소프트웨어 개발 및 공급업,"3억 9,000만원","5억 3,709만원",서석진,2004.05.07
비지엔티,중소기업,인천 연수구,컨설팅·연구·조사,"2억 5,000만원",22억 2천만원,이지선,2007.03.05
비지엔티,벤처기업,경기 화성시,무역·상사,-,-,김병수,-
비지엔티,중소기업,경기 안산시,"미장, 타일 및 방수 공사업","1억 5,000만원",31억 6백만원,허용준,2020.11.17
비지엔티,중소기업,인천광역시 부평구,경영 컨설팅업,"5,000만원",392만원,정설아,2019.07.16
비지엔티,중소기업,경기 군포시,전기·전자·제어,82억 9백만원,795억 5천만원,임학규,1996.12.17
볕터건축사사무소,중소기업,서울 강서구,건축설계 및 관련 서비스업,"건축설계,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터시설 관리업,데이터베이스제작및검색서비스,자료 처리업,디지털콘텐츠개발,학술연구용역","국민연금, 건강보험, 고용보험, 산재보험",-,황진하
주찬실업,중소기업,경남 김해시,선박 구성 부분품 제조업,3억원,43억 8천만원,신구호,2001.05.20
라이프티엠,중소기업,서울 금천구,임업 관련 서비스업,5억원,"8억 7,303만원",정광진,2005.01.27
라이프티엠,대기업 계열사·자회사,서울 중구,증권·보험·카드,420억원,1683억,고병구,2005.04.01
케스트,중견기업,서울 종로구,방송 프로그램 제작업,57억 3천만원,520억 9천만원,엄재용,2008.09.01
케스트,중소기업,경북 고령군,선철주물 주조업,7억원,350억 5천만원,문성배/문영욱,2009.11.09
케스트,중견기업,서울 종로구,프로그램 공급업,100억원,220억 6천만원,엄재용,2000.02.01
케스트,중소기업,서울 강동구,응용 소프트웨어 개발 및 공급업,-,-,김성현,2024.04.19
남경에스텍,중소기업,전라남도 나주시,원목 및 건축관련 목제품 도매업,6억원,21억 6천만원,김용균,2011.06.02
네스,중소기업,충남 천안시,전기·전자·제어,-,-,민경철,2021.07.07
네스,중소기업,경기 부천시,쇼핑몰·오픈마켓·소셜커머스,황성혜,,인테리어소품 브랜드,2021.12.27
네스,중소기업,대전 서구,IT컨설팅,5억원,350억,김윤희,2003.07.16
네스,중소기업,경기 하남시,콜센터·아웃소싱·기타,"5,000만원",20억5천만,유한수,2006.07.04
네스,중소기업,서울 성북구,스포츠·여가·레저,-,-,김양수,-
네스,중소기업,경기 수원시,네트워크·통신서비스,10억원,50억,유영곤,2009.07.16
네스,벤처기업,대전 유성구,전기·전자·제어,1억원,63억원,이기성,2010
